name,price,original_price,discount,model,brand,availability,rating,review_count,image_url,product_url,specifications,category,subcategory,description
AMD Ryzen 7 9800X3D Gaming Desktop PC,"160,099৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/ryzen-pc/ryzen-7-9800x3d/ryzen-7-9800x3d-01-228x228.webp,https://www.startech.com.bd/amd-ryzen-7-9800x3d-gaming-desktop-pc,{},Desktop,Gaming PC,
AMD Ryzen 7 7700 Gaming PC,"162,600৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/desktop-offer/amd-ryzen-7-7700-gaming-pc-228x228.webp,https://www.startech.com.bd/amd-ryzen-7-7700-gaming-pc,{},Desktop,Gaming PC,
Lenovo IdeaCentre 3 07IRB8 Core i3 13th Gen Brand PC,"48,500৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/brand-pc/lenevo/ideacentre-3-07irb8/ideacentre-3-07irb8-01-228x228.webp,https://www.startech.com.bd/lenovo-ideacentre-3-07irb8-core-i3-13th-gen-brand-pc,{},Desktop,Brand PC,
Lenovo ThinkCentre Neo 50t Gen 4 Core i3 12th Gen Brand PC,"50,000৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/brand-pc/lenevo/thinkcentre-neo-50t-/thinkcentre-neo-50t-01-228x228.webp,https://www.startech.com.bd/lenovo-thinkcentre-neo-50t-gen-4-core-i3-12th-gen-brand-pc,{},Desktop,Brand PC,
Lenovo ThinkCentre Neo 50s Gen 4 Core i3 13th Gen 512GB SSD Brand PC,"51,500৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/brand-pc/lenevo/thinkcentre-neo-50t-/thinkcentre-neo-50t-01-228x228.webp,https://www.startech.com.bd/lenovo-thinkcentre-neo-50s-gen-4-core-i3-13th-gen-brand-pc,{},Desktop,Brand PC,
HP Pro Tower 280 G9 Core i3 12th Gen 8GB RAM Desktop PC,"52,500৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/brand-pc/hp-aio/280-pro-g9/280-pro-g9-01-228x228.webp,https://www.startech.com.bd/hp-280-pro-g9-i3-12th-gen-tower-brand-pc,{},Desktop,Brand PC,
Lenovo ThinkCentre Neo 50t Gen 4 Core i3 13th Gen Brand PC,"52,500৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/brand-pc/lenevo/thinkcentre-neo-50t-/thinkcentre-neo-50t-01-228x228.webp,https://www.startech.com.bd/lenovo-thinkcentre-neo-50t-gen-4-core-i3-13th-gen-brand-pc,{},Desktop,Brand PC,
Dell OptiPlex 7010 Core i3 12th Gen Tower Desktop PC,"53,500৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/dell/optiplex/dell-optiplex-228x228.webp,https://www.startech.com.bd/dell-optiplex-7010-core-i3-12th-gen-tower-desktop-pc,{},Desktop,Brand PC,
Dell VOSTRO 3030 MT Core i5 12th Gen Brand PC (Upgraded),"56,000৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/brand-pc/dell/vostro-3030-mt/vostro-3030-mt-01-228x228.webp,https://www.startech.com.bd/dell-vostro-3030-mt-core-i5-12th-brand-pc,{},Desktop,Brand PC,
Dell VOSTRO 3030 MT Core i3 14th Gen Brand PC,"50,500৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/brand-pc/dell/vostro-3030-mt/vostro-3030-mt-01-228x228.webp,https://www.startech.com.bd/dell-vostro-3030-mt-brand-pc,{},Desktop,Brand PC,
Dell VOSTRO 3030 MT Core i3 12th Gen Brand PC (Upgraded),"46,500৳",,,,,N/A,,,https://www.startech.com.bd/image/cache/catalog/desktop-pc/brand-pc/dell/vostro-3030-mt/vostro-3030-mt-01-228x228.webp,https://www.startech.com.bd/dell-vostro-3030-mt-core-i3-brand-pc,{},Desktop,Brand PC,
