chunk_id,strategy,text,length,start_index,end_index
96,sentence,"Subcategory: Desktop. Price: 61,500৳.

Product: TECLAST K24 Air Core i5 12th Gen 24"" FHD All-in-One PC. Category: All-in-One PC. Subcategory: Desktop. Price: 68,000৳.
",167,12439,12606
97,sentence,"Subcategory: Desktop. Price: 68,000৳.

Product: ASUS ExpertCenter P440VAK Core i3 13th Gen 23.8"" FHD All-in-One PC. Category: All-in-One PC. Subcategory: Desktop. Price: 68,500৳.
",179,12568,12747
98,sentence,"Subcategory: Desktop. Price: 68,500৳.

Product: AOC B911 Core i5 12th Gen 23.8"" Full HD All in One PC With WebCam & Battery. Category: All-in-One PC. Subcategory: Desktop. Price: 71,700৳.
",188,12709,12897
99,sentence,"Subcategory: Desktop. Price: 71,700৳.

Product: AOC A99 Core i7 13th Gen 27"" Full HD All in One PC With WebCam & Battery. Category: All-in-One PC. Subcategory: Desktop. Price: 85,600৳.
",185,12859,13044
100,sentence,"Subcategory: Desktop. Price: 85,600৳.

Product: HP All-in-One 24-cr0085d Core i5 13th Gen FHD Touch Desktop PC. Category: All-in-One PC. Subcategory: Desktop. Price: 112,000৳.
",176,13006,13182
101,sentence,"Subcategory: Desktop. Price: 112,000৳.

Product: HP Pro 240 G9 Core i5 12th Gen All-in-One Desktop PC. Category: All-in-One PC. Subcategory: Desktop. Price: 91,000৳94,500৳.
",173,13143,13316
102,sentence,"Subcategory: Desktop. Price: 91,000৳94,500৳.

Product: ASUS ExpertCenter P440VAK Core i7 13th Gen 23.8"" FHD All-in-One PC. Category: All-in-One PC. Subcategory: Desktop. Price: 95,000৳.
",186,13271,13457
103,sentence,"Subcategory: Desktop. Price: 95,000৳.

Product: HP All-in-One 24-cr0086d Core i5 13th Gen Desktop PC. Category: All-in-One PC. Subcategory: Desktop. Price: 99,500৳.
",165,13419,13584
104,sentence,"Subcategory: Desktop. Price: 99,500৳.

Product: ASUS ExpertCenter E5 E5202WHAK Core i3 11th Gen 21.5"" FHD All-in-One PC. Category: All-in-One PC. Subcategory: Desktop. Price: Up Coming.
",186,13546,13732
105,sentence,"Subcategory: Desktop. Price: Up Coming.

Product: dHP R240 Core i5 4th Gen 23.8"" FHD All-in-One PC. Category: All-in-One PC. Subcategory: Desktop. Price: 40,000৳.
",163,13692,13855
106,sentence,"Subcategory: Desktop. Price: 40,000৳.

Product: dHP E270 Core i5 7th Gen 27"" FHD All-in-One PC. Category: All-in-One PC. Subcategory: Desktop. Price: 46,800৳.
",159,13817,13976
107,sentence,"Subcategory: Desktop. Price: 46,800৳.

Product: Asus ExpertCenter E3202 Core i3 12th Gen 21.5"" FHD All-in-One PC. Category: ASUS. Subcategory: All-in-One PC. Price: Out Of Stock.
",179,13938,14117
108,sentence,"Price: Out Of Stock.

Product: HP Pro 240 G9 Core i7 12th Gen All-in-One Desktop PC. Category: HP. Subcategory: All-in-One PC. Price: Out Of Stock.
",148,14096,14244
109,sentence,"Price: Out Of Stock.

Product: HP All-in-One 27-cr0051d Core i7 13th Gen FHD Desktop PC. Category: HP. Subcategory: All-in-One PC. Price: 134,000৳.
",148,14223,14371
110,sentence,"Subcategory: All-in-One PC. Price: 134,000৳.

Product: ASUS NUC 12 Pro Core i3 12th Gen Portable Mini PC. Category: Portable Mini PC. Subcategory: Desktop. Price: 48,500৳.
",172,14326,14498
111,sentence,"Subcategory: Desktop. Price: 48,500৳.

Product: Asus ExpertCenter PN64 Core i5 12th Gen Portable Mini PC. Category: Portable Mini PC. Subcategory: Desktop. Price: 58,000৳.
",172,14460,14632
112,sentence,"Subcategory: Desktop. Price: 58,000৳.

Product: ASUS ROG NUC Core Ultra 7 155H RTX 4060 8GB Graphics Mini Gaming PC. Category: Portable Mini PC. Subcategory: Desktop. Price: Out Of Stock.
",188,14594,14782
113,sentence,"Subcategory: Desktop. Price: Out Of Stock.

Product: ASUS NUC 15 Pro Core Ultra 5 225H Portable Mini PC. Category: Portable Mini PC. Subcategory: Desktop. Price: 76,000৳.
",171,14739,14910
114,sentence,"Subcategory: Desktop. Price: 76,000৳.

Product: ASUS ROG NUC Core Ultra 9 185H RTX 4070 8GB Graphics Mini Gaming PC. Category: Portable Mini PC. Subcategory: Desktop. Price: Out Of Stock.
",188,14872,15060
115,sentence,"Subcategory: Desktop. Price: Out Of Stock.

Product: ASUS ROG NUC Core Ultra 9 275HX RTX 5070Ti 12GB Graphics Mini Gaming PC. Category: Portable Mini PC. Subcategory: Desktop. Price: 390,000৳.
",193,15017,15210
116,sentence,"Subcategory: Desktop. Price: 390,000৳.

Product: Asus PN41 Celeron Dual Core Mini PC. Category: Portable Mini PC. Subcategory: Desktop. Price: 26,000৳.
",152,15171,15323
117,sentence,"Subcategory: Desktop. Price: 26,000৳.

Product: Zotac ZBOX BI322 Intel N3050 Portable Mini PC. Category: Portable Mini PC. Subcategory: Desktop. Price: Up Coming.
",163,15285,15448
118,sentence,"Subcategory: Desktop. Price: Up Coming.

Product: Zotac ZBOX PI330 Intel Atom Portable Mini PC. Category: Portable Mini PC. Subcategory: Desktop. Price: Up Coming.
",164,15408,15572
119,sentence,"Subcategory: Desktop. Price: Up Coming.

Product: Asus PN40 Celeron Dual Core Mini PC. Category: Portable Mini PC. Subcategory: Desktop. Price: Out Of Stock.
",158,15532,15690
120,sentence,"Subcategory: Desktop. Price: Out Of Stock.

Product: ASUS PN50 Ryzen 7 4700U Ultracompact Mini PC. Category: Portable Mini PC. Subcategory: Desktop. Price: Out Of Stock.
",170,15647,15817
121,sentence,"Subcategory: Desktop. Price: Out Of Stock.

Product: Apple Mac Studio M2 Ultra chip 24-core CPU 64GB Memory 1TB SSD (MQH63X/A). Category: Apple Mac Studio. Subcategory: Desktop. Price: Up Coming.
",196,15774,15970
122,sentence,"Subcategory: Desktop. Price: Up Coming.

Product: Apple Mac Studio M2 Max chip 12-core CPU 32GB Memory 512GB SSD (MQH73). Category: Apple Mac Studio. Subcategory: Desktop. Price: Up Coming.
",190,15930,16120
123,sentence,"Subcategory: Desktop. Price: Up Coming.

Product: Apple Mac Pro M2 Ultra Tower Desktop PC. Category: Apple Mac Pro. Subcategory: Desktop. Price: Up Coming.
",156,16080,16236
