chunk_id,strategy,text,length,start_index,end_index
238,token,e i5 13th Gen Brand PC (Upgraded). Category: HP. S,50,9520,9570
239,token,"ory: HP. Subcategory: Brand PC. Price: 74,000৳.

P",50,9560,9610
240,token,"4,000৳.

Product: HP Pro Tower 280 G9 Core i7 12th",50,9600,9650
241,token,re i7 12th Gen 16GB RAM 512GB SSD Desktop PC. Cate,50,9640,9690
242,token,p PC. Category: HP. Subcategory: Brand PC. Price: ,50,9680,9730
243,token,"C. Price: 83,000৳.

Product: HP Pro Tower 280 G9 C",50,9720,9770
244,token,r 280 G9 Core i7 14th Gen Brand PC. Category: HP. ,50,9760,9810
245,token,gory: HP. Subcategory: Brand PC. Price: Up Coming.,50,9800,9850
246,token,"Up Coming.

Product: AMD Ryzen 5 8400F Gaming PC. ",50,9840,9890
247,token,aming PC. Category: Ryzen PC. Subcategory: Star PC,50,9880,9930
248,token,"y: Star PC. Price: Out Of Stock.

Product: Dell Op",50,9920,9970
249,token,t: Dell OptiPlex 3000 Core i5 12th Gen Tower Brand,50,9960,10010
250,token,ower Brand PC. Category: Dell. Subcategory: Brand ,50,10000,10050
251,token,"ry: Brand PC. Price: 65,000৳.

Product: Dell OptiP",50,10040,10090
252,token,Dell OptiPlex 7020 Core i5 12th Gen Tower Brand PC,50,10080,10130
253,token,r Brand PC. Category: Dell. Subcategory: Brand PC.,50,10120,10170
254,token," Brand PC. Price: 66,500৳.

Product: DELL OptiPlex",50,10160,10210
255,token,L OptiPlex 7010 Tower Core i5 13th Gen 512GB Brand,50,10200,10250
256,token,12GB Brand PC. Category: Dell. Subcategory: Brand ,50,10240,10290
257,token,"ry: Brand PC. Price: 70,500৳.

Product: Dell VOSTR",50,10280,10330
258,token,Dell VOSTRO 3030 MT Core i5 14th Gen Brand PC. Cat,50,10320,10370
259,token,nd PC. Category: Dell. Subcategory: Brand PC. Pric,50,10360,10410
260,token,"d PC. Price: 64,000৳.

Product: Dell OptiPlex 7020",50,10400,10450
261,token,iPlex 7020 Core i5 13th Gen Tower Brand PC. Catego,50,10440,10490
262,token,PC. Category: Dell. Subcategory: Brand PC. Price: ,50,10480,10530
263,token,"C. Price: 72,000৳.

Product: Dell Inspiron 3030 MT",50,10520,10570
264,token,on 3030 MT Core i5 14th Gen Brand PC. Category: De,50,10560,10610
265,token,"tegory: Dell. Subcategory: Brand PC. Price: 73,000",50,10600,10650
266,token,"ce: 73,000৳.

Product: Dell OptiPlex Tower 7020 Pl",50,10640,10690
267,token,er 7020 Plus Core i5 14th Gen Brand PC. Category: ,50,10680,10730
268,token,"Category: Dell. Subcategory: Brand PC. Price: 75,0",50,10720,10770
269,token,"rice: 75,000৳.

Product: Dell OptiPlex 7010 Core i",50,10760,10810
270,token,010 Core i7 13th Gen Brand PC. Category: Dell. Sub,50,10800,10850
271,token," Dell. Subcategory: Brand PC. Price: 93,000৳.

Pro",50,10840,10890
272,token,"000৳.

Product: Dell Vostro 3020T Core i7 13th Gen",50,10880,10930
273,token,7 13th Gen Desktop PC. Category: Dell. Subcategory,50,10920,10970
274,token,"ubcategory: Brand PC. Price: 95,000৳.

Product: De",50,10960,11010
275,token,roduct: Dell OptiPlex 7020 MT Core i7 13th Gen Min,50,11000,11050
276,token,th Gen Mini Tower Brand PC. Category: Dell. Subcat,50,11040,11090
277,token,"ll. Subcategory: Brand PC. Price: 95,000৳.

Produc",50,11080,11130
278,token,"৳.

Product: Dell OptiPlex 7020 Core i7 12th Gen T",50,11120,11170
279,token,12th Gen Tower Brand PC. Category: Dell. Subcatego,50,11160,11210
280,token," Subcategory: Brand PC. Price: 93,000৳.

Product: ",50,11200,11250
281,token,"
Product: Dell Inspiron 5430 Intel Core 5 120U 23.",50,11240,11290
282,token,"5 120U 23.8"" FHD All-in-One PC. Category: Dell. Su",50,11280,11330
283,token,": Dell. Subcategory: All-in-One PC. Price: 92,000৳",50,11320,11370
284,token,"e: 92,000৳.

Product: Dell Inspiron 5430 Intel Cor",50,11360,11410
285,token," Intel Core 7 150U 23.8"" FHD All-in-One PC. Catego",50,11400,11450
286,token,PC. Category: Dell. Subcategory: All-in-One PC. Pr,50,11440,11490
287,token,"One PC. Price: 118,000৳.

Product: Dell OptiPlex 7",50,11480,11530
288,token,"OptiPlex 7420 Core i5 14th Gen 23.8"" FHD Touch All",50,11520,11570
289,token, Touch All-in-One PC. Category: Dell. Subcategory:,50,11560,11610
290,token,"bcategory: All-in-One PC. Price: Out Of Stock.

Pr",50,11600,11650
291,token,"Stock.

Product: Dell OptiPlex 7420 Core i7 14th G",50,11640,11690
292,token," i7 14th Gen 23.8"" FHD Touch All-in-One PC. Catego",50,11680,11730
293,token,PC. Category: Dell. Subcategory: All-in-One PC. Pr,50,11720,11770
294,token,"One PC. Price: Out Of Stock.

Product: Lenovo Idea",50,11760,11810
295,token,"enovo IdeaCentre AIO 24IRH9 Core i5 13th Gen 23.8""",50,11800,11850
296,token," Gen 23.8"" FHD All-in-One Desktop PC. Category: LE",50,11840,11890
297,token,tegory: LENOVO. Subcategory: All-in-One PC. Price:,50,11880,11930
298,token,"PC. Price: 89,500৳.

Product: AOC B911 Intel Celer",50,11920,11970
299,token,"ntel Celeron N95 23.8"" Full HD All in One PC. Cate",50,11960,12010
300,token,e PC. Category: All-in-One PC. Subcategory: Deskto,50,12000,12050
301,token,"ry: Desktop. Price: 50,300৳.

Product: AOC A33 Cor",50,12040,12090
302,token,"OC A33 Core i5 7th Gen 23.8"" FHD All in One PC. Ca",50,12080,12130
303,token,One PC. Category: All-in-One PC. Subcategory: Desk,50,12120,12170
304,token,"gory: Desktop. Price: 55,200৳.

Product: AOC B911 ",50,12160,12210
305,token," AOC B911 Core i5 8th Gen 23.8"" Full HD All in One",50,12200,12250
306,token,All in One PC With WebCam. Category: All-in-One PC,50,12240,12290
307,token,"-in-One PC. Subcategory: Desktop. Price: 58,800৳.
",50,12280,12330
308,token," 58,800৳.

Product: AOC B911 Core i5 8th Gen 27"" F",50,12320,12370
309,token," Gen 27"" Full HD All in One PC With WebCam & Batte",50,12360,12410
310,token,am & Battery. Category: All-in-One PC. Subcategory,50,12400,12450
311,token,"ubcategory: Desktop. Price: 61,500৳.

Product: TEC",50,12440,12490
312,token,"oduct: TECLAST K24 Air Core i5 12th Gen 24"" FHD Al",50,12480,12530
313,token,"24"" FHD All-in-One PC. Category: All-in-One PC. Su",50,12520,12570
314,token,"One PC. Subcategory: Desktop. Price: 68,000৳.

Pro",50,12560,12610
315,token,"000৳.

Product: ASUS ExpertCenter P440VAK Core i3 ",50,12600,12650
316,token,"K Core i3 13th Gen 23.8"" FHD All-in-One PC. Catego",50,12640,12690
317,token,PC. Category: All-in-One PC. Subcategory: Desktop.,50,12680,12730
318,token,": Desktop. Price: 68,500৳.

Product: AOC B911 Core",50,12720,12770
319,token," B911 Core i5 12th Gen 23.8"" Full HD All in One PC",50,12760,12810
320,token, in One PC With WebCam & Battery. Category: All-in,50,12800,12850
321,token,ry: All-in-One PC. Subcategory: Desktop. Price: 71,50,12840,12890
322,token," Price: 71,700৳.

Product: AOC A99 Core i7 13th Ge",50,12880,12930
323,token,"i7 13th Gen 27"" Full HD All in One PC With WebCam ",50,12920,12970
324,token,th WebCam & Battery. Category: All-in-One PC. Subc,50,12960,13010
325,token,"e PC. Subcategory: Desktop. Price: 85,600৳.

Produ",50,13000,13050
326,token,"0৳.

Product: HP All-in-One 24-cr0085d Core i5 13t",50,13040,13090
327,token,ore i5 13th Gen FHD Touch Desktop PC. Category: Al,50,13080,13130
